rank,title,combined,first_ep,avg,rsi_victory,verdict,cast_auto,creator_auto,platform,release_date
1,모두가 자신의 무가치함과 싸우고 있다,63.9,65.2,62.1,66.5,⚡ 승부처,8.6,6.0,JTBC+Netflix+TVING,2026.04.18
2,골드랜드,58.9,57.4,58.6,61.9,⚡ 승부처,7.2,6.0,Disney+,2026.04.29
3,유미의 세포들3,56.1,57.2,56.0,54.5,⚡ 승부처,6.0,2.6,TVING→tvN,2026.04.13
4,21세기 대군부인,54.4,62.9,49.9,52.8,❓ 다크호스,6.4,2.6,MBC+Disney+,2026.04.10
5,허수아비,50.4,47.9,51.7,50.7,❓ 다크호스,6.9,0.0,ENA+GenieTV,2026.04.20
6,은밀한 감사,50.0,50.3,49.2,51.7,❓ 다크호스,5.2,0.0,tvN+TVING,2026.04.25
7,오늘도 매진했습니다,47.6,54.1,43.6,47.9,❓ 다크호스,6.2,1.8,SBS+Netflix,2026.04.22
8,기리고,44.5,44.2,44.0,46.2,📉 난항 예상,4.6,0.0,Netflix,2026.04.24
