rank,title,combined,first_ep,avg,rsi_victory,verdict,platform,release_date
1,21세기 대군부인,73.2,77.0,69.4,76.8,🔥 중박 이상,MBC+Disney+,2026.04.10
2,유미의 세포들3,67.5,64.5,68.7,68.9,🔥 중박 이상,TVING→tvN,2026.04.13
3,오늘도 매진했습니다,64.5,65.2,62.1,69.3,⚡ 승부처,SBS+Netflix,2026.04.22
4,모두가 자신의 무가치함과 싸우고 있다,60.7,61.7,59.4,62.2,⚡ 승부처,JTBC+Netflix+TVING,2026.04.18
5,골드랜드,54.4,53.7,54.1,56.1,❓ 다크호스,Disney+,2026.04.29
6,은밀한 감사,53.7,54.2,52.2,56.5,❓ 다크호스,tvN+TVING,2026.04.25
7,허수아비,48.6,46.0,50.2,48.3,❓ 다크호스,ENA+GenieTV,2026.04.20
8,기리고,41.3,40.8,41.3,41.9,📉 난항 예상,Netflix,2026.04.24
